domain	utterance	semantic_parse
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	are the conditions good at robert moses	[IN:UNSUPPORTED_WEATHER are the conditions good at robert moses ]
weather	Is it going to be around 89 in degree C out there	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 89 ] in degree [SL:WEATHER_TEMPERATURE_UNIT C ] [SL:LOCATION out there ] ]
weather	How much ice accumulation is anticipated	[IN:UNSUPPORTED_WEATHER How much [SL:WEATHER_ATTRIBUTE ice accumulation ] is anticipated ]
weather	what time is sunrise tomorrow	[IN:GET_SUNRISE what time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	When summer days are going to end	[IN:UNSUPPORTED_WEATHER When [SL:DATE_TIME summer ] days are going to end ]
weather	effects of el nino	[IN:UNSUPPORTED_WEATHER effects of el nino ]
weather	How cold will the winter be this year	[IN:UNSUPPORTED_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] will the [SL:DATE_TIME winter ] be [SL:DATE_TIME this year ] ]
weather	ARE WE EXPECTED TO HAVE A HARSH WINTER THIS YEAR	[IN:UNSUPPORTED_WEATHER ARE WE EXPECTED TO HAVE A [SL:WEATHER_ATTRIBUTE HARSH WINTER ] [SL:DATE_TIME THIS YEAR ] ]
weather	Where is it summer all year round	[IN:UNSUPPORTED_WEATHER Where is it [SL:DATE_TIME summer all year ] round ]
weather	What's the hottest day ever recorded	[IN:UNSUPPORTED_WEATHER What 's the [SL:WEATHER_ATTRIBUTE hottest ] day ever recorded ]
weather	Where is the flash flood warning	[IN:UNSUPPORTED_WEATHER Where is the flash flood warning ]
weather	What's the weather like in terms of rain in mm?	[IN:UNSUPPORTED_WEATHER What 's the weather like in terms of [SL:WEATHER_ATTRIBUTE rain ] in mm ? ]
weather	would i be able to go windsurfing today	[IN:UNSUPPORTED_WEATHER would i be able to go windsurfing today ]
weather	When is it winter in Germany	[IN:UNSUPPORTED_WEATHER When is it [SL:DATE_TIME winter ] in [SL:LOCATION Germany ] ]
weather	time until sunset	[IN:GET_SUNSET time until sunset ]
weather	Will I need a jacket for my walk this evening?	[IN:UNSUPPORTED_WEATHER Will I need a jacket for my walk this evening ? ]
weather	Which city had the coldest day in the US in 2016	[IN:UNSUPPORTED_WEATHER Which city had the [SL:WEATHER_ATTRIBUTE coldest ] day in the US in 2016 ]
weather	when does the sun rise	[IN:GET_SUNRISE when does the sun rise ]
weather	How much summer weather do we have left in Kansas this year	[IN:UNSUPPORTED_WEATHER How much summer weather do we have left in [SL:LOCATION Kansas ] [SL:DATE_TIME this year ] ]
weather	what's the local radar like tomorrow	[IN:GET_WEATHER what 's the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar like [SL:DATE_TIME tomorrow ] ]
weather	I am going to Canada in August, do I need a Jacket	[IN:UNSUPPORTED_WEATHER I am going to [SL:LOCATION Canada ] [SL:DATE_TIME in August ] , do I need a [SL:WEATHER_ATTRIBUTE Jacket ] ]
weather	What time does the sunset next Monday	[IN:GET_SUNSET What time does the sunset [SL:DATE_TIME next Monday ] ]
weather	when is the next sunrise?	[IN:GET_SUNRISE when is the next sunrise ? ]
weather	How cold does it get in London in the winter	[IN:UNSUPPORTED_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] does it get in [SL:LOCATION London ] [SL:DATE_TIME in the winter ] ]
weather	Any flash floods in my area	[IN:UNSUPPORTED_WEATHER Any [SL:WEATHER_ATTRIBUTE flash floods ] in [SL:LOCATION my area ] ]
weather	When is sunset today	[IN:GET_SUNSET When is sunset [SL:DATE_TIME today ] ]
weather	when's dawn	[IN:GET_SUNRISE when 's dawn ]
weather	what time will the sunset	[IN:GET_SUNSET what time will the sunset ]
weather	what time is sunrise tomorrow	[IN:GET_SUNRISE what time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	when is dawn tomorrow	[IN:GET_SUNRISE when is dawn [SL:DATE_TIME tomorrow ] ]
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	What time will the sun rise in Tokyo tomorrow	[IN:GET_SUNRISE What time will the sun rise in [SL:LOCATION Tokyo ] [SL:DATE_TIME tomorrow ] ]
weather	when is sunset in Miami	[IN:GET_SUNSET when is sunset in [SL:LOCATION Miami ] ]
weather	You know what time sundown is?	[IN:GET_SUNSET You know what time sundown is ? ]
weather	At what time will the sun rise today	[IN:GET_SUNRISE At what time will the sun rise [SL:DATE_TIME today ] ]
weather	What time is sunset	[IN:GET_SUNSET What time is sunset ]
weather	what's the radar look like in my area	[IN:GET_WEATHER what 's the radar look like in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my area ] ] ] ]
weather	when is sunrise tomorrow	[IN:GET_SUNRISE when is sunrise [SL:DATE_TIME tomorrow ] ]
weather	What time is sunrise	[IN:GET_SUNRISE What time is sunrise ]
weather	What time does the sun set	[IN:GET_SUNSET What time does the sun set ]
weather	when is sunset?	[IN:GET_SUNSET when is sunset ? ]
weather	what time is tomorrows sunset	[IN:GET_SUNSET what time is [SL:DATE_TIME tomorrows ] sunset ]
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	What time is sunset in Moscow	[IN:GET_SUNSET What time is sunset in [SL:LOCATION Moscow ] ]
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	What time did the sun rise today	[IN:GET_SUNRISE What time did the sun rise [SL:DATE_TIME today ] ]
weather	When is the sunset in California	[IN:GET_SUNSET When is the sunset in [SL:LOCATION California ] ]
weather	when is sunrise today?	[IN:GET_SUNRISE when is sunrise [SL:DATE_TIME today ] ? ]
weather	What time is sunset	[IN:GET_SUNSET What time is sunset ]
weather	What time does the sun set	[IN:GET_SUNSET What time does the sun set ]
weather	what time is the sunrise	[IN:GET_SUNRISE what time is the sunrise ]
weather	When does the sunrise tomorrow?	[IN:GET_SUNRISE When does the sunrise [SL:DATE_TIME tomorrow ] ? ]
weather	What time is sunrise?	[IN:GET_SUNRISE What time is sunrise ? ]
weather	when does it get dark	[IN:GET_SUNSET when does it get dark ]
weather	at what time will the sun rise in Calaveras County tomorrow	[IN:GET_SUNRISE at what time will the sun rise in [SL:LOCATION Calaveras County ] [SL:DATE_TIME tomorrow ] ]
weather	what is the local radar forecast	[IN:GET_WEATHER what is the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar forecast ]
weather	what time is the sun going to set today	[IN:GET_SUNSET what time is the sun going to set [SL:DATE_TIME today ] ]
weather	What time does the sunset	[IN:GET_SUNSET What time does the sunset ]
weather	what time is sunset	[IN:GET_SUNSET what time is sunset ]
weather	What time is tonight's sunset	[IN:GET_SUNSET What time is [SL:DATE_TIME tonight ] 's sunset ]
weather	tell me when sunrise is	[IN:GET_SUNRISE tell me when sunrise is ]
weather	what time is sunset	[IN:GET_SUNSET what time is sunset ]
weather	can you tell me the local radar prediction	[IN:GET_WEATHER can you tell me the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar prediction ]
weather	at what time does it start getting dark	[IN:GET_SUNSET at what time does it start getting dark ]
weather	What time is sunrise	[IN:GET_SUNRISE What time is sunrise ]
weather	What time does the sun set today	[IN:GET_SUNSET What time does the sun set [SL:DATE_TIME today ] ]
weather	What time is sunset tomorrow?	[IN:GET_SUNSET What time is sunset [SL:DATE_TIME tomorrow ] ? ]
weather	when is the sunset	[IN:GET_SUNSET when is the sunset ]
weather	what time will it start to get dark out	[IN:GET_SUNSET what time will it start to get dark out ]
weather	when will the dawn be	[IN:GET_SUNRISE when will the dawn be ]
weather	What time is sunset tomorrow?	[IN:GET_SUNSET What time is sunset [SL:DATE_TIME tomorrow ] ? ]
weather	What time will the sunrise Friday	[IN:GET_SUNRISE What time will the sunrise [SL:DATE_TIME Friday ] ]
weather	When is sunset on Friday?	[IN:GET_SUNSET When is sunset [SL:DATE_TIME on Friday ] ? ]
weather	when does the sun set	[IN:GET_SUNSET when does the sun set ]
weather	What time does the sun rise this morning	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME this morning ] ]
weather	show me weather radar in my area	[IN:GET_WEATHER show me weather radar in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my area ] ] ] ]
weather	What time is dawn tomorrow	[IN:GET_SUNRISE What time is dawn [SL:DATE_TIME tomorrow ] ]
weather	What time is the sunset	[IN:GET_SUNSET What time is the sunset ]
weather	When does the sun come up	[IN:GET_SUNRISE When does the sun come up ]
weather	When is sunrise on Saturday?	[IN:GET_SUNRISE When is sunrise [SL:DATE_TIME on Saturday ] ? ]
weather	What time did the sun rise 3 years ago today	[IN:GET_SUNRISE What time did the sun rise [SL:DATE_TIME 3 years ago today ] ]
weather	advise me on how many cm of rain is due tomorrow	[IN:GET_WEATHER advise me on how many [SL:MEASUREMENT_UNIT cm ] of [SL:WEATHER_ATTRIBUTE rain ] is due [SL:DATE_TIME tomorrow ] ]
weather	When is sunset	[IN:GET_SUNSET When is sunset ]
weather	What time is sunrise	[IN:GET_SUNRISE What time is sunrise ]
weather	What time is sunset?	[IN:GET_SUNSET What time is sunset ? ]
weather	what time does the sun set	[IN:GET_SUNSET what time does the sun set ]
weather	What time is Sunset tonight	[IN:GET_SUNSET What time is Sunset [SL:DATE_TIME tonight ] ]
weather	What time is sunset	[IN:GET_SUNSET What time is sunset ]
weather	tell me the local radar for tomorrow	[IN:GET_WEATHER tell me the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar [SL:DATE_TIME for tomorrow ] ]
weather	Tell me the time of sundown.	[IN:GET_SUNSET Tell me the time of sundown . ]
weather	What time is the sunset today?	[IN:GET_SUNSET What time is the sunset [SL:DATE_TIME today ] ? ]
weather	When is sunset	[IN:GET_SUNSET When is sunset ]
weather	When will the sun rise today?	[IN:GET_SUNRISE When will the sun rise [SL:DATE_TIME today ] ? ]
weather	When's sunset in LA	[IN:GET_SUNSET When 's sunset in [SL:LOCATION LA ] ]
weather	What time is the sun setting tonight in the Outer Banks	[IN:GET_SUNSET What time is the sun setting [SL:DATE_TIME tonight ] in the [SL:LOCATION Outer Banks ] ]
weather	What time does the sun rise tomorrow	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME tomorrow ] ]
weather	Tell me the sundown time.	[IN:GET_SUNSET Tell me the sundown time . ]
weather	When does the sunset	[IN:GET_SUNSET When does the sunset ]
weather	When is dusk the day after tomorrow	[IN:GET_SUNSET When is dusk the [SL:DATE_TIME day after tomorrow ] ]
weather	what time will the sunrise	[IN:GET_SUNRISE what time will the sunrise ]
weather	Pull up the radar for my current area	[IN:GET_WEATHER Pull up the radar for [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my current area ] ] ] ]
weather	what time does sunrise in new york tomorrow	[IN:GET_SUNRISE what time does sunrise in [SL:LOCATION new york ] [SL:DATE_TIME tomorrow ] ]
weather	gimmie that local radar readout	[IN:GET_WEATHER gimmie that [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar readout ]
weather	when is sunrise	[IN:GET_SUNRISE when is sunrise ]
weather	When is sunrise tomorrow	[IN:GET_SUNRISE When is sunrise [SL:DATE_TIME tomorrow ] ]
weather	Weather in current location	[IN:GET_WEATHER Weather in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER current location ] ] ] ]
weather	when does the sun rise	[IN:GET_SUNRISE when does the sun rise ]
weather	When is dawn tomorrow	[IN:GET_SUNRISE When is dawn [SL:DATE_TIME tomorrow ] ]
weather	When time does the sunrise in New York	[IN:GET_SUNRISE When time does the sunrise in [SL:LOCATION New York ] ]
weather	Sunrise and sunset times in Los Angeles	[IN:GET_SUNRISE Sunrise and sunset times in [SL:LOCATION Los Angeles ] ]
weather	What time was sunrise this morning	[IN:GET_SUNRISE What time was sunrise [SL:DATE_TIME this morning ] ]
weather	What time is sunrise tomorrow morning?	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow morning ] ? ]
weather	What time does the sun rise	[IN:GET_SUNRISE What time does the sun rise ]
weather	how many millimetres of rain is expected?	[IN:GET_WEATHER how many [SL:MEASUREMENT_UNIT millimetres ] of [SL:WEATHER_ATTRIBUTE rain ] is expected ? ]
weather	What is the forecast for this weekend at my mums?	[IN:GET_WEATHER What is the forecast [SL:DATE_TIME for this weekend ] at [SL:LOCATION [IN:GET_INFO_CONTACT [SL:CONTACT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION mums ] ] ] ] ] ? ]
weather	when is the dawn	[IN:GET_SUNRISE when is the dawn ]
weather	I need the local radar	[IN:GET_WEATHER I need the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	tell me local radar for today	[IN:GET_WEATHER tell me [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar [SL:DATE_TIME for today ] ]
weather	What time is dusk in my town	[IN:GET_SUNSET What time is dusk in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my town ] ] ] ]
weather	SHOW ME THE RADAR FOR MY AREA	[IN:GET_WEATHER SHOW ME THE RADAR FOR [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER MY AREA ] ] ] ]
weather	what is the weather here?	[IN:GET_WEATHER what is the weather [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ? ]
weather	tell me local radar	[IN:GET_WEATHER tell me [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	what's the local radar	[IN:GET_WEATHER what 's the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	Weather here 10th June	[IN:GET_WEATHER Weather [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME 10th June ] ]
weather	radar for my region	[IN:GET_WEATHER radar for [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my region ] ] ] ]
weather	How many mm of rain are we expecting this evening.	[IN:GET_WEATHER How many [SL:MEASUREMENT_UNIT mm ] of [SL:WEATHER_ATTRIBUTE rain ] are we expecting [SL:DATE_TIME this evening ] . ]
weather	What time does the sun set this time of year in my city	[IN:GET_SUNSET What time does the sun set this time of year in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my city ] ] ] ]
weather	How many cm of snow are we expecting?	[IN:GET_WEATHER How many [SL:MEASUREMENT_UNIT cm ] of [SL:WEATHER_ATTRIBUTE snow ] are we expecting ? ]
weather	in centimeters, how much rain will we be getting tonight	[IN:GET_WEATHER in [SL:MEASUREMENT_UNIT centimeters ] , how much [SL:WEATHER_ATTRIBUTE rain ] will we be getting [SL:DATE_TIME tonight ] ]
weather	whats the weather radar look like near me	[IN:GET_WEATHER whats the weather radar look like [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] ]
